"Date","Price","Open","High","Low","Change %"
"12/06/2024","3.9430","3.9720","3.9890","3.9184","-0.77%"
"12/05/2024","3.9735","3.9790","4.0200","3.9658","-0.11%"
"12/04/2024","3.9780","4.0180","4.0730","3.9595","-0.85%"
"12/03/2024","4.0122","3.9960","4.0340","3.9643","-0.42%"
"12/02/2024","4.0290","3.9717","4.0460","3.9717","-0.26%"
"11/29/2024","4.0394","4.0549","4.0580","3.9620","0.00%"
"11/28/2024","4.0394","4.0530","4.0660","4.0511","0.00%"
"11/27/2024","4.0394","4.0981","4.1190","4.0181","-1.55%"
"11/26/2024","4.1030","4.0650","4.1210","4.0497","1.18%"
"11/25/2024","4.0550","4.1160","4.1540","4.0405","-3.04%"
"11/22/2024","4.1820","4.1910","4.1990","4.1478","0.07%"
"11/21/2024","4.1790","4.1802","4.2090","4.1356","0.00%"
"11/20/2024","4.1790","4.1614","4.2110","4.1536","1.00%"
"11/19/2024","4.1376","4.1780","4.1830","4.0965","-0.87%"
"11/18/2024","4.1740","4.1922","4.2460","4.1607","-0.36%"
"11/15/2024","4.1890","4.2023","4.2690","4.1591","-0.45%"
"11/14/2024","4.2080","4.2110","4.2460","4.1473","0.00%"
"11/13/2024","4.2080","4.1960","4.2220","4.1222","0.21%"
"11/12/2024","4.1990","4.0995","4.2180","4.0995","2.43%"
"11/11/2024","4.0995","4.0995","4.1209","4.0995","-0.21%"
"11/08/2024","4.1080","4.1044","4.1360","4.0476","-1.83%"
"11/07/2024","4.1846","4.1987","4.2300","4.0880","0.00%"
"11/06/2024","4.1846","4.0350","4.2290","3.9996","3.48%"
"11/05/2024","4.0440","4.0362","4.1230","4.0263","-0.50%"
"11/04/2024","4.0644","4.1390","4.1390","4.0139","-1.11%"
"11/01/2024","4.1100","4.0454","4.1410","3.9740","1.76%"
"10/31/2024","4.0390","4.0731","4.1010","4.0193","0.00%"
"10/30/2024","4.0390","4.0289","4.0800","3.9710","-0.30%"
"10/29/2024","4.0510","4.0624","4.1110","4.0248","-0.17%"
