"Date","Price","Open","High","Low","Change %"
"01/15/2025","4.5310","4.5580","4.5503","4.5240","-0.22%"
"01/14/2025","4.5410","4.5460","4.5780","4.5000","-0.37%"
"01/13/2025","4.5580","4.5217","4.6340","4.4910","0.51%"
"01/10/2025","4.5347","4.4320","4.5533","4.3650","2.73%"
"01/09/2025","4.4142","4.4172","4.4340","4.3710","0.03%"
"01/08/2025","4.4130","4.4222","4.4872","4.3880","-0.02%"
"01/07/2025","4.4140","4.3835","4.4528","4.3500","1.12%"
"01/06/2025","4.3650","4.3403","4.3845","4.2960","0.73%"
"01/03/2025","4.3332","4.2910","4.3392","4.2630","0.53%"
"01/02/2025","4.3105","4.3067","4.3375","4.2337","0.09%"
"01/01/2025","4.3067","4.3067","4.3067","4.3067","0.00%"
"12/31/2024","4.3067","4.2807","4.3310","4.2450","0.69%"
"12/30/2024","4.2770","4.3755","4.3765","4.2680","-1.88%"
"12/27/2024","4.3590","4.3445","4.3767","4.3170","0.40%"
"12/26/2024","4.3415","4.3590","4.4037","4.3200","-0.40%"
"12/25/2024","4.3590","4.3590","4.3660","4.3590","0.00%"
"12/24/2024","4.3590","4.3583","4.3920","4.3350","0.02%"
"12/23/2024","4.3580","4.2997","4.3745","4.2830","1.63%"
"12/20/2024","4.2880","4.3330","4.3420","4.2470","-1.06%"
"12/19/2024","4.3340","4.3175","4.3620","4.2770","0.80%"
"12/18/2024","4.2997","4.1828","4.3135","4.1250","3.46%"
"12/17/2024","4.1560","4.1640","4.2185","4.1420","-0.37%"
"12/16/2024","4.1715","4.1532","4.1815","4.1180","0.10%"
"12/13/2024","4.1675","4.0920","4.1755","4.0760","1.81%"
"12/12/2024","4.0935","4.0480","4.1075","4.0180","1.50%"
"12/11/2024","4.0330","4.0072","4.0530","3.9570","1.08%"
"12/10/2024","3.9900","3.9720","4.0292","3.9520","0.61%"
"12/09/2024","3.9660","3.9595","3.9885","3.9160","0.86%"
"12/06/2024","3.9320","3.9730","4.0180","3.9060","-1.03%"
"12/05/2024","3.9730","3.9750","4.0350","3.9660","0.08%"
"12/04/2024","3.9700","4.0150","4.0780","3.9610","-1.32%"
"12/03/2024","4.0230","4.0102","4.0390","3.9600","-0.27%"
"12/02/2024","4.0340","3.9810","4.0615","3.9340","-0.38%"
"11/29/2024","4.0492","4.0652","4.0682","3.9470","0.00%"
"11/28/2024","4.0492","4.0642","4.0722","4.0400","0.00%"
"11/27/2024","4.0492","4.1060","4.1182","4.0150","-1.26%"
"11/26/2024","4.1010","4.0800","4.1300","4.0510","1.01%"
"11/25/2024","4.0600","4.1530","4.1730","4.0490","-3.10%"
"11/22/2024","4.1900","4.2020","4.2040","4.1390","0.35%"
"11/21/2024","4.1753","4.1780","4.2100","4.1260","0.00%"
"11/20/2024","4.1753","4.1480","4.2003","4.1198","1.12%"
"11/19/2024","4.1290","4.1630","4.1730","4.0830","-0.75%"
"11/18/2024","4.1600","4.1928","4.2358","4.1570","-0.52%"
"11/15/2024","4.1818","4.1960","4.2688","4.1390","0.11%"
"11/14/2024","4.1770","4.1945","4.2457","4.1310","0.00%"
"11/13/2024","4.1770","4.2073","4.2292","4.1070","-0.72%"
"11/12/2024","4.2073","4.1112","4.2222","4.0740","2.34%"
"11/11/2024","4.1112","4.1112","4.1240","4.0980","0.44%"
"11/08/2024","4.0930","4.0897","4.1172","4.0360","-1.80%"
"11/07/2024","4.1680","4.1700","4.2013","4.0570","0.00%"
"11/06/2024","4.1680","4.0260","4.2190","4.0050","3.30%"
"11/05/2024","4.0350","4.0150","4.1190","4.0140","-0.15%"
"11/04/2024","4.0410","4.0770","4.1180","3.9910","-0.91%"
"11/01/2024","4.0780","4.0350","4.1135","3.9420","1.72%"
"10/31/2024","4.0090","4.0420","4.0965","4.0080","0.00%"
"10/30/2024","4.0090","3.9790","4.0660","3.9370","0.28%"
"10/29/2024","3.9980","4.0240","4.0710","3.9700","-0.30%"
"10/28/2024","4.0100","4.0080","4.0507","3.9650","0.65%"
"10/25/2024","3.9843","3.9600","4.0012","3.9150","-0.07%"
"10/24/2024","3.9870","3.9880","4.0020","3.9200","0.00%"
"10/23/2024","3.9870","3.9600","4.0015","3.9410","1.14%"
"10/22/2024","3.9420","3.9390","3.9660","3.8980","0.39%"
"10/21/2024","3.9267","3.8438","3.9488","3.8200","2.87%"
"10/18/2024","3.8170","3.8330","3.8660","3.8030","0.99%"
"10/17/2024","3.7795","3.7700","3.8555","3.7700","0.00%"
"10/16/2024","3.7795","3.7840","3.7995","3.7450","-0.42%"
"10/15/2024","3.7955","3.8270","3.8540","3.7740","-1.24%"
"10/14/2024","3.8432","3.8270","3.8432","3.8220","0.95%"
"10/11/2024","3.8070","3.8110","3.8588","3.8010","-0.99%"
"10/10/2024","3.8450","3.8440","3.9150","3.8050","0.37%"
"10/09/2024","3.8310","3.7740","3.8568","3.7650","0.98%"
"10/08/2024","3.7940","3.8010","3.8300","3.7597","-0.03%"
"10/07/2024","3.7950","3.7620","3.8200","3.7430","1.07%"
"10/04/2024","3.7550","3.5810","3.7600","3.5670","7.16%"
"10/03/2024","3.5040","3.5140","3.5920","3.4970","0.00%"
"10/02/2024","3.5040","3.4580","3.5440","3.4520","0.63%"
"10/01/2024","3.4820","3.5120","3.5340","3.4220","-1.36%"
"09/30/2024","3.5300","3.4790","3.5460","3.4740","1.85%"
"09/27/2024","3.4660","3.5300","3.5430","3.4380","-0.63%"
"09/26/2024","3.4880","3.5060","3.5450","3.4570","0.00%"
"09/25/2024","3.4880","3.4420","3.5120","3.4420","0.58%"
"09/24/2024","3.4680","3.4930","3.5403","3.4430","-0.12%"
"09/23/2024","3.4720","3.4850","3.5380","3.4580","0.49%"
"09/20/2024","3.4550","3.4610","3.5140","3.4350","0.26%"
"09/19/2024","3.4460","3.4530","3.5200","3.4330","0.00%"
"09/18/2024","3.4460","3.4160","3.4813","3.3670","1.53%"
"09/17/2024","3.3940","3.3720","3.4210","3.3530","0.53%"
"09/16/2024","3.3760","3.4080","3.4180","3.3560","-0.53%"
"09/13/2024","3.3940","3.4280","3.4520","3.3640","-0.09%"
"09/12/2024","3.3972","3.4120","3.4530","3.3710","0.00%"
"09/11/2024","3.3972","3.3870","3.4470","3.3345","0.48%"
"09/10/2024","3.3810","3.4370","3.4740","3.3710","-1.75%"
"09/09/2024","3.4413","3.4725","3.5090","3.4240","-0.11%"
"09/06/2024","3.4450","3.5050","3.5475","3.3940","-2.33%"
"09/05/2024","3.5273","3.5180","3.5467","3.4690","0.00%"
"09/04/2024","3.5273","3.6000","3.6130","3.5040","-2.13%"
"09/03/2024","3.6040","3.6750","3.7040","3.5783","-1.26%"
"09/02/2024","3.6500","3.6750","3.7010","3.6683","-0.54%"
"08/30/2024","3.6700","3.6460","3.6915","3.6140","1.61%"
"08/29/2024","3.6120","3.6163","3.6642","3.5940","0.00%"
"08/28/2024","3.6120","3.6090","3.6460","3.5800","0.02%"
"08/27/2024","3.6112","3.6170","3.6512","3.5930","0.14%"
"08/26/2024","3.6060","3.5805","3.6195","3.5600","0.22%"
"08/23/2024","3.5980","3.6700","3.6790","3.5865","0.19%"
"08/22/2024","3.5910","3.6120","3.6950","3.6010","0.00%"
"08/21/2024","3.5910","3.6320","3.6590","3.5650","-1.64%"
"08/20/2024","3.6510","3.7070","3.7210","3.6210","-1.59%"
"08/19/2024","3.7100","3.7400","3.7470","3.6790","-0.46%"
"08/16/2024","3.7270","3.7410","3.7620","3.6800","2.81%"
"08/15/2024","3.6250","3.6410","3.7750","3.6290","0.00%"
"08/14/2024","3.6250","3.6310","3.6820","3.5975","-0.38%"
"08/13/2024","3.6390","3.7040","3.7240","3.6260","-1.65%"
"08/12/2024","3.7000","3.7570","3.7820","3.6880","-1.18%"
"08/09/2024","3.7440","3.7910","3.7950","3.7120","-0.48%"
"08/08/2024","3.7622","3.7420","3.8240","3.6610","0.00%"
"08/07/2024","3.7622","3.6960","3.7820","3.6775","1.82%"
"08/06/2024","3.6950","3.6180","3.7250","3.6040","2.92%"
"08/05/2024","3.5900","3.5925","3.6410","3.4200","-0.17%"
"08/02/2024","3.5960","3.8070","3.8150","3.5550","-8.92%"
"08/01/2024","3.9480","3.8760","3.9278","3.7940","0.00%"
"07/31/2024","3.9480","3.9900","3.9970","3.8680","-1.05%"
"07/30/2024","3.9900","4.0280","4.0350","3.9660","-0.60%"
"07/29/2024","4.0140","4.0240","4.0340","3.9845","-0.38%"
"07/26/2024","4.0295","4.0850","4.1240","3.9970","-1.65%"
"07/25/2024","4.0970","4.1280","4.1280","4.0050","0.00%"
"07/24/2024","4.0970","4.0960","4.1300","4.0350","0.12%"
"07/23/2024","4.0922","4.1070","4.1170","4.0690","-0.61%"
"07/22/2024","4.1172","4.0833","4.1353","4.0712","0.49%"
"07/19/2024","4.0970","4.0590","4.1130","4.0445","2.30%"
"07/18/2024","4.0050","4.0220","4.0645","4.0080","0.00%"
"07/17/2024","4.0050","4.0120","4.0598","3.9950","-0.61%"
"07/16/2024","4.0297","4.0710","4.0810","4.0000","-0.97%"
"07/15/2024","4.0690","4.0452","4.0920","4.0330","0.64%"
"07/12/2024","4.0430","4.0740","4.1040","4.0290","-3.32%"
"07/11/2024","4.1820","4.1750","4.1980","4.0320","0.00%"
"07/10/2024","4.1820","4.1860","4.2100","4.1570","-0.17%"
"07/09/2024","4.1890","4.1830","4.2240","4.1670","0.48%"
"07/08/2024","4.1690","4.1830","4.2170","4.1660","-2.46%"
"07/05/2024","4.2740","4.2830","4.3035","4.1620","0.00%"
"07/04/2024","4.2740","4.2830","4.2830","4.2740","0.00%"
"07/03/2024","4.2740","4.3360","4.3650","4.2350","-1.56%"
"07/02/2024","4.3417","4.3690","4.3750","4.3090","-0.92%"
"07/01/2024","4.3820","4.3340","4.3970","4.3038","3.42%"
"06/28/2024","4.2370","4.2320","4.3222","4.1980","0.00%"
"06/27/2024","4.2370","4.2790","4.2965","4.2190","-0.75%"
"06/26/2024","4.2690","4.1930","4.2815","4.1930","1.79%"
"06/25/2024","4.1940","4.1990","4.2153","4.1580","-0.07%"
"06/24/2024","4.1970","4.2105","4.2305","4.1780","-0.19%"
"06/21/2024","4.2050","4.2220","4.2348","4.1610","0.00%"
"06/20/2024","4.2050","4.1870","4.2490","4.1747","0.75%"
"06/19/2024","4.1737","4.1870","4.1980","4.1820","0.00%"
"06/18/2024","4.1737","4.2480","4.2643","4.1578","-1.52%"
"06/17/2024","4.2380","4.1950","4.2502","4.1750","1.03%"
"06/14/2024","4.1950","4.1940","4.2430","4.1285","0.00%"
"06/13/2024","4.1950","4.2880","4.2990","4.1788","-1.78%"
"06/12/2024","4.2710","4.3832","4.3888","4.2098","-2.51%"
"06/11/2024","4.3810","4.4470","4.4520","4.3692","-1.44%"
"06/10/2024","4.4450","4.4490","4.4550","4.4200","4.49%"
"06/07/2024","4.2540","4.2690","4.4220","4.2520","0.00%"
"06/06/2024","4.2540","4.2540","4.2990","4.2510","-0.40%"
"06/05/2024","4.2710","4.3160","4.3470","4.2570","-1.13%"
"06/04/2024","4.3200","4.3670","4.4030","4.2925","-1.53%"
"06/03/2024","4.3870","4.4625","4.4830","4.3660","-3.46%"
"05/31/2024","4.5440","4.5040","4.5630","4.4640","0.00%"
"05/30/2024","4.5440","4.6060","4.6210","4.5060","-1.47%"
"05/29/2024","4.6120","4.5530","4.6260","4.5320","1.63%"
"05/28/2024","4.5380","4.4530","4.5550","4.4483","1.33%"
"05/27/2024","4.4783","4.4530","4.4722","4.4510","0.00%"
"05/24/2024","4.4783","4.4875","4.5130","4.4670","0.00%"
"05/23/2024","4.4783","4.4220","4.5080","4.3895","0.98%"
"05/22/2024","4.4350","4.4080","4.4568","4.3990","0.64%"
"05/21/2024","4.4070","4.4380","4.4380","4.3890","-0.35%"
"05/20/2024","4.4225","4.4088","4.4478","4.3988","1.16%"
"05/17/2024","4.3720","4.3770","4.4212","4.3542","0.00%"
"05/16/2024","4.3720","4.3310","4.3810","4.2950","0.76%"
"05/15/2024","4.3390","4.4250","4.4385","4.3180","-2.08%"
"05/14/2024","4.4310","4.4830","4.5190","4.4170","-0.85%"
"05/13/2024","4.4690","4.4780","4.4870","4.4420","0.83%"
"05/10/2024","4.4320","4.4410","4.4970","4.4250","0.00%"
"05/09/2024","4.4320","4.4750","4.5010","4.4270","-0.89%"
"05/08/2024","4.4720","4.4430","4.4780","4.4272","0.72%"
"05/07/2024","4.4400","4.4610","4.4750","4.3983","-0.40%"
"05/06/2024","4.4580","4.4815","4.4890","4.4270","-2.00%"
"05/03/2024","4.5488","4.5538","4.5668","4.3990","0.00%"
"05/02/2024","4.5488","4.6330","4.6410","4.5418","-0.83%"
"05/01/2024","4.5868","4.6853","4.7010","4.5718","-2.24%"
"04/30/2024","4.6920","4.6170","4.6970","4.5980","1.51%"
"04/29/2024","4.6223","4.6590","4.6590","4.6053","-0.94%"
"04/26/2024","4.6660","4.6970","4.6985","4.6360","-0.58%"
"04/25/2024","4.6930","4.6250","4.7280","4.5895","1.27%"
"04/24/2024","4.6340","4.5900","4.6540","4.5820","1.13%"
"04/23/2024","4.5820","4.6040","4.6480","4.5520","-0.80%"
"04/22/2024","4.6190","4.6460","4.6810","4.5970","-0.41%"
"04/19/2024","4.6380","4.6280","4.6480","4.4803","0.00%"
"04/18/2024","4.6380","4.5800","4.6450","4.5380","1.49%"
"04/17/2024","4.5700","4.6560","4.6860","4.5523","-1.51%"
"04/16/2024","4.6400","4.5790","4.6780","4.5590","0.65%"
"04/15/2024","4.6100","4.5108","4.6560","4.4978","2.49%"
"04/12/2024","4.4980","4.5990","4.6030","4.4713","-1.72%"
"04/11/2024","4.5765","4.5690","4.6180","4.5103","0.14%"
"04/10/2024","4.5700","4.3470","4.5840","4.3160","5.13%"
"04/09/2024","4.3470","4.4020","4.4260","4.3350","-1.34%"
"04/08/2024","4.4060","4.3960","4.4310","4.3727","3.12%"
"04/05/2024","4.2725","4.2820","4.3770","4.2590","0.00%"
"04/04/2024","4.2725","4.3050","4.3440","4.2615","-0.98%"
"04/03/2024","4.3150","4.3240","4.3920","4.3003","-0.39%"
"04/02/2024","4.3320","4.3150","4.3820","4.2550","0.28%"
"04/01/2024","4.3200","4.1980","4.3300","4.1675","3.07%"
"03/29/2024","4.1915","4.1960","4.1960","4.1960","0.00%"
"03/28/2024","4.1915","4.1740","4.2390","4.1480","0.32%"
"03/27/2024","4.1780","4.2160","4.2380","4.1555","-0.88%"
"03/26/2024","4.2150","4.2280","4.2550","4.1978","-0.35%"
"03/25/2024","4.2300","4.1670","4.2390","4.1610","-0.33%"
"03/22/2024","4.2440","4.2560","4.2560","4.1685","0.00%"
"03/21/2024","4.2440","4.2370","4.2640","4.1745","-0.02%"
"03/20/2024","4.2450","4.2700","4.2970","4.1983","-0.72%"
"03/19/2024","4.2760","4.3030","4.3220","4.2665","-1.09%"
"03/18/2024","4.3230","4.2890","4.3360","4.2730","1.24%"
"03/15/2024","4.2700","4.2710","4.3110","4.2422","0.00%"
"03/14/2024","4.2700","4.1710","4.2730","4.1495","2.64%"
"03/13/2024","4.1600","4.1320","4.1760","4.1040","0.63%"
"03/12/2024","4.1340","4.0920","4.1520","4.0410","1.50%"
"03/11/2024","4.0730","4.0410","4.0920","4.0170","0.30%"
"03/08/2024","4.0610","4.0547","4.1130","3.9870","0.00%"
"03/07/2024","4.0610","4.0865","4.1090","4.0388","-0.67%"
"03/06/2024","4.0885","4.1198","4.1470","4.0450","-0.72%"
"03/05/2024","4.1180","4.1850","4.1980","4.0817","-1.74%"
"03/04/2024","4.1910","4.1370","4.2070","4.1350","1.09%"
"03/01/2024","4.1460","4.2098","4.2690","4.1307","-1.61%"
"02/29/2024","4.2137","4.2280","4.3040","4.1838","-0.50%"
"02/28/2024","4.2350","4.2660","4.2700","4.2228","-0.96%"
"02/27/2024","4.2760","4.2480","4.2880","4.1970","0.21%"
"02/26/2024","4.2670","4.2375","4.2840","4.1900","0.12%"
"02/25/2024","4.2620","4.2375","4.2620","4.2375","-0.88%"
"02/23/2024","4.3000","4.3000","4.3270","4.2257","0.00%"
"02/22/2024","4.3000","4.2890","4.3212","4.2500","0.47%"
"02/21/2024","4.2800","4.2300","4.2950","4.1982","1.30%"
"02/20/2024","4.2252","4.2522","4.2770","4.1880","0.58%"
"02/19/2024","4.2010","4.2522","4.2720","4.2522","0.00%"
"02/16/2024","4.2010","4.2000","4.3200","4.1760","0.00%"
"02/15/2024","4.2010","4.2197","4.2330","4.1413","-0.64%"
"02/14/2024","4.2280","4.2965","4.3060","4.1997","-1.61%"
"02/13/2024","4.2970","4.1240","4.3040","4.0872","4.57%"
"02/12/2024","4.1092","4.1155","4.1370","4.0780","0.18%"
"02/09/2024","4.1020","4.0923","4.1380","4.0563","0.00%"
"02/08/2024","4.1020","4.0520","4.1060","3.9940","1.80%"
"02/07/2024","4.0293","4.0170","4.0550","3.9710","0.23%"
"02/06/2024","4.0200","4.1040","4.1100","3.9940","-2.12%"
"02/05/2024","4.1070","3.9620","4.1190","3.9590","8.39%"
"02/02/2024","3.7890","3.8050","4.0130","3.7830","0.00%"
"02/01/2024","3.7890","3.8247","3.8750","3.7320","-2.11%"
"01/31/2024","3.8707","3.9630","3.9650","3.8387","-2.97%"
"01/30/2024","3.9890","3.9900","4.0230","3.9400","0.66%"
"01/29/2024","3.9630","4.0260","4.0405","3.9540","-1.42%"
"01/26/2024","4.0200","4.0130","4.0640","3.9660","0.00%"
"01/25/2024","4.0200","4.0830","4.0960","4.0062","-1.49%"
"01/24/2024","4.0810","4.0340","4.0920","3.9783","0.94%"
"01/23/2024","4.0430","4.0220","4.0600","3.9900","0.82%"
"01/22/2024","4.0100","4.0482","4.0520","3.9853","-0.42%"
